Sample in Buffer,Sample in Window,TRIGGER,u_ila_adc/probe[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,6811400000000000
1,1,0,6811400000000000
2,2,0,4891400000000004
3,3,0,4a11400000000004
4,4,0,4a11400000000000
5,5,0,4a11400000000000
6,6,0,4a11400000000004
7,7,0,4a11400000000004
8,8,0,4a11400000000000
9,9,0,4a11400000000000
10,10,0,4a31400000000004
11,11,0,4831400000000004
12,12,0,4831400000000000
13,13,0,4831400000000000
14,14,0,4811480000000004
15,15,0,4811480000000004
16,16,0,4811480000000000
17,17,0,6911480000000000
18,18,0,6c11480000000004
19,19,0,6c11480000000004
20,20,0,6c11480000000000
21,21,0,6c11480000000000
22,22,0,6c11480000000004
23,23,0,6c11480000000004
24,24,0,6c11480000000000
25,25,0,6c11480000000000
26,26,0,6851480000000004
27,27,0,6851480000000004
28,28,0,6851480000000000
29,29,0,6851480000000000
30,30,0,6811480000000004
31,31,0,6811480000000004
32,32,0,4891480000000000
33,33,0,4a11480000000000
34,34,0,4a11480000000004
35,35,0,4a11480000000004
36,36,0,4a11480000000000
37,37,0,4a11480000000000
38,38,0,4a11480000000004
39,39,0,4a11480000000004
40,40,0,4a11480000000000
41,41,0,4811480000000000
42,42,0,4831480000000004
43,43,0,4831480000000004
44,44,0,4831480000000000
45,45,0,4831480000000000
46,46,0,4811500000000004
47,47,0,6911500000000004
48,48,0,6c11500000000000
49,49,0,6c11500000000000
50,50,0,6c11500000000004
51,51,0,6c11500000000004
52,52,0,6c11500000000000
53,53,0,6c11500000000000
54,54,0,6c51500000000004
55,55,0,6c51500000000004
56,56,0,6851500000000000
57,57,0,6851500000000000
58,58,0,6811500000000004
59,59,0,6811500000000004
60,60,0,6811500000000000
61,61,0,6811500000000000
62,62,0,4891500000000004
63,63,0,4a11500000000004
64,64,0,4a11500000000000
65,65,0,4a11500000000000
66,66,0,4a11500000000004
67,67,0,4a11500000000004
68,68,0,4a11500000000000
69,69,0,4a11500000000000
70,70,0,4a31500000000004
71,71,0,4831500000000004
72,72,0,4831500000000000
73,73,0,4831500000000000
74,74,0,4811580000000004
